	Comments
Виктор Абакумов	"ЭТО РЕБЯТА ШЕДЕВР НА МНОГИЕ ЛЕТА.
  Я КОГДА УСЛЫШАЛ  
У МЕНЯ ПРОСТО ТЕКЛИ СЛЕЗЫ Я ДОСИХ ПОР ВОСХИЩАЮСЬ   ГРЕТОЙ.   
   БРАВО.... СУПЕР....
 НО.,...ЕСТЬ МАЛЕНЬКОЕ НО 
    ЭТО НАША  РОЗА РЫМБАЕВА  ТОЖЕ
СЛОВА ГОЛОС 
    ПИПЕЦ МНЕ 56 
А СЛЕЗЫ ТАК И ТЕКУТ.
   КАК И В 80- ГОДА"
sonya Russell	Love this song!
Krzysztof Wawrocki	piękna i mądra
K R	Wunderschöne Frau wunderschöne  Musik bis heute ❤️
Слава Ж	Beautiful!!!
macio	HA
IAmJessicubX	ABBA was well before their time. Crazy. We need this revamped
Kannan Adiseshachalam	Eternal masterpiece
Ian Kim	this used to be my favorite song in 2012
John Paterson	Reminds me of the most beautiful girl and a wild affair, I miss and love her forever in my heart😢
Gavin Anderson	It's All Good Man
Videoteca D'Angelista	Thanx Jimmy
Lucas Miranda	A linha tem Cerol vai lavar seu c....
Allan Lincoln	1:42 Já lavei👍🏻
Joacy Miranda	em 1:42, em português, soa como se estivesse mandando fazer asseio. kkkk
Patrick Freber	Ich liebe dich
Jude Reyes	Absolutely very 🎉❤marvelous amazing 🤩 majestic enchanting exhilarating exciting and exceptional musical 🎤 performance of the best ever group singing spectacular sensational song 🎵 to stimulate my everlasting LOVING memories to continue Loving 🥰 wonderful woman 👩 JENNIFER of which I LOVE ❤️ so much indeed my everlasting loving 🥰 wonderful women
Anderson 77	LULA PRESIDENTE.  BOZO PINTO MURCHO E DERROTADO.
Deal,Deal.	Brilliant!!!goose bumps!!!
Валерия Гончарова	"Победитель получает всë. 
Я не победителель.Я получила просто жизнь, просто любовь, просто память. И я рада, что ушла от суеты победитей. Рада, что ушла от тебя, любимого."
Tien Duong	Somewhere in the universe, there is a plannet, and there are some creatures of god!
marko suutari	The song u have to hear!
Pasquale Sacco	Her ex husband wrote it how much pain was in to write such a song she sang her heart out
Марина Юрьевна	ВМЕСТЕ ЖИЗНЬ СЕЙЧАС.
ID047889	"Thegood old  80s

When a singer was famous about his/her voice and songs

Not about his/her looks, private life issues, tweets, insta pictures…"
Ryan Keating	Best group with the Beatles to ever grace this earth
Charliecomet82	S'all good, man.
Usuario975 66	"Aos 1:42 dá impressão que ela tá mandando ""cuidar da higiene"" 😆🤣"
mona35ful	Piosenka kościelna Panie proszę przyjdź,jest z tą melodią,piękne ❤️🥰
Brendan Daly	what a band , amazing 🤙
Eric Johnson	"All I can say, this song BREAKS your heart. I'm so Sorry for the pain!
God Bless You!!"
Esra Özçelik	"I don't wanna talk
About things we've gone through
Though it's hurting me
Now it's history
I've played all my cards
And that's what you've done too
Nothing more to say
No more ace to play
The winner takes it all
The loser's standing small
Beside the victory
That's her destiny
I was in your arms
Thinking I belonged there
I figured it made sense
Building me a fence
Building me a home
Thinking I'd be strong there
But I was a fool
Playing by the rules
The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all (takes it all)
The loser has to fall (has to fall)
It's simple and it's plain (it's so plain)
Why should I complain? (Why complain?)
But tell me, does she kiss
Like I used to kiss you?
Does it feel the same
When she calls your name?
Somewhere deep inside
You must know I miss you
But what can I say?
Rules must be obeyed
The judges will decide (will decide)
The likes of me abide (me abide)
Spectators of the show (of the show)
Always staying low (staying low)
The game is on again (on again)
A lover or a friend (or a friend)
A big thing or a small (big or small)
The winner takes it all (takes it all)
I don't wanna talk
If it makes you feel sad
And I understand
You've come to shake my hand
I apologize
If it makes you feel bad
Seeing me so tense
No self-confidence
But you see
The winner takes it all
The winner takes it all
So the winner takes it all
And the loser has to fall
Throw the dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
And it's plain, why complain?"
Thuan VP	Loved Abba... from 198x with my cassette Jvc PC 330!
Руслан Шувалов	это просто гениально
Елена Яковлева	Вот оно, моё лекарство от того безумия, что творится сейчас. Спасибо.
Jack Jarvis	What a great vocalist. She could hold her own with any others.
