	Comments
Sheyla Cortez	Essa música me faz lembrar o passado, eu era apaixonada por pelo meu amigo o nome dele era Zico.
Azing	2022   still loving n listening
Serge Vitiello	Merveilleuse chanson ❤️♥️♥️♥️♥️
Paulo Eduardo	"I don't wanna talk
About things we've gone through
Though it's hurting me
Now it's history
I've played all my cards
And that's what you've done too
Nothing more to say
No more ace to play

The winner takes it all
The loser's standing small
Beside the victory
That's her destiny

I was in your arms
Thinking I belonged there
I figured it made sense
Building me a fence
Building me a home
Thinking I'd be strong there
But I was a fool
Playing by the rules

The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all
The loser has to fall
It's simple and it's plain
Why should I complain?

But tell me does she kiss
Like I used to kiss you?
Does it feel the same
When she calls your name?
Somewhere deep inside
You must know I miss you
But what can I say?
Rules must be obeyed

The judges will decide
The likes of me abide
Spectators of the show
Always staying low
The game is on again
A lover or a friend
A big thing or a small
The winner takes it all

I don't wanna talk
If it makes you feel sad
And I understand
You've come to shake my hand
I apologize
If it makes you feel bad
Seeing me so tense
No self-confidence
But you see
The winner takes it all
The winner takes it all"
Ray	Beautiful Performance. sign Canada.
Andrea Cunha	I love this music!!!
Gabor Markovlcs	Abba forewer!
ORCHIDEA !	Stupenda stupenda che dire di più tutto è superfulo con un capolavoro del genere stupenda all'infinito 💕💕💕
Almblume	the winner i soooooo  near ... .thank you for the musik ;))
Anthony Cirino	She sounds so great! Truly one of a kind
MrOppOrtunity	So much emotion.. U can feel what she is saying.. 😥😥
Warrior Princess	I love ABBA ❤️
Nina Lestari	their divorce song.
Bareq Al-Ithawi I بارق العيثاوي	Coming from Better Call Saul
Martina Naber	Meine Kindheit u Jugend, ABBA! MEINE ERSTE LIEBE ZERBRACH . . .und ich hoerte im Auto von Buehl bis Frankfurt, 200 km . . .NUR DIESEN SONG, SANG MIT, LIESS ALLES RAUSS :-)  . . .THANK YOU ABBA!!!
dale winter	Greatness
Kennedy Mmaduabuchi	Mom's favorite
Ellinor Augustsson	1980 the year i Was born...and still this song is a master piece...i heard my son who is 19 years old play this song in the shower a week ago 🥰 ABBA Sveriges stolthet 💙💛
Nick Turner	Absolutely gorgeous when women were beautiful no tattoos no blue hair and no beer belly
Герман Арес	"Эта песня о РАЗВОДЕ между Мужчиной и Девушкой.
Конкретно о Распаде данного коллектива. 
Чем она так всех цепляет?
Своей Драмой?"
Viri Z	I dedicated this song to my husband🖤
Y S	Outstanding.
Cati Parapuf	Uuyyyuyuuu
Khais Hall	Put your money where your souls are fools.
Khais Hall	And I won't move from my room
Lanny Sousa	Nascir numa época posterior ao lançamento dessa música, mas ela consegue, inevitavelmente, me transportar para um tempo passado que não sei precisar, parece uma regressão de tão intensa a sensação que me causa.
Fonsinho Souza	Essa musica me leva em um passado tão lindo.
Jeffrey Steven Huber Potenzialentfaltung	Hi ABBA, 2 days ago was the X10-10-10 and next year will be the X11-11-11 and in between? Kiss Jeffrey S. Huber
JustEthical	b&b were pure musical genius / producers
Юрист по разделу имущества	2022
Валентина Кулик	"Обожнюю ABBA все своє життя.А теперь і моя донька захоплюється цією музикою.
Зараз під час війни слухаю і відроджуюсь, щоб не втратити відчуття життя."
Валентина Кулик	"Обожнюю ABBA все своє життя.А теперь і моя донька захоплюється цією музикою.
Музика на всі часи."
Zholdybay Kaliakbarov	Тамаша туынды.
Denis M.	я то думал она новогодняя, а песня о разводе, пушной канеш открыл глаза
Ирина Донская	Моя любимая композиция!
Margaux MILLER	bonobistouquette like for more
Margaux MILLER	I love it f-ing legends gougougagaproutprout
ANTONIO LAERCIO MEDEIROS	Muitas saudades deste tempo.Musicas lindas,inesqueciveis.
Forever Chris	"Breakup song of their own divorce. How sad.
So, who's the winner and the loser?"
Debashish banerjee	I was 10 when I heard ABBA for the first time. Agnetha is a God blessed soul. ❤️❤️
Jean-francois Saliou	Cette chanson c'est l'espoir
Victor Joel Rodríguez Lemus	Soy tu faller
Victor Joel Rodríguez Lemus	Tu lo sabes guera
Victor Joel Rodríguez Lemus	Rojo
Victor Joel Rodríguez Lemus	Forever
Victor Joel Rodríguez Lemus	Love forever Made un Victory
Tri Hasta	"Mangkunegaran Palace
Surakarta"
Gilliard santos	Thank you my darling
Gilliard santos	Thank you my darling
Antonio Moreira	simplesmente divino
Eben Hawthorne	Brings back good memories.She had insane vocal range,can't be copied,.80's were the best decade of all music .Never will come around again.
Noel McMahon	Who is listening to this fantastic masterpiece in 2022
Tri Hasta	"end : 2019
start : 2022"
Jonas Pereira Santiago Santiago	Simplesmente linda
Josef Deiner	.......only ABBA can stop the war!!!
Sara horani	I like it ♥️2022
Виктор Ткаченко	Светлая, бесподобная мелодия!
stej enli	!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
프랑스인형	They. are. four.  geniuses ♡♡♡♡
Ashley Hall	Many have covered this song but no one has matched the original
Rick D	I was a fetus when this song came out and I remember how sad it made me feel.
pat6930	que de souvenirs merci
Алла Перемитина	Большая удача, когда совпадает музыка, текст и исполнение. И тогда уже на все времена! Свежо и ярко! Браво, ABBA!
Liya Zavorotnaya	Translate this text, please 💕
Annissa Coggins	You can really see the pain in her eyes as she sings this song
루 슬 란	В детстве был катушечный магнитфон и ас100 . Крутил соседям до  вечера.
Симона Маузер	The winner takes it all actually as always, and like about war Russia 🇷🇺 Ukraine 🇺🇦
호랑이의하루	노래 잘한다
Виктор Ткаченко	Народ! Помогите остановить войну! Нам в России очень страшно. Мы ничего не можем сделать!
George Kuenzli	One of Agnetha Fältskog's best songs.
onomotopeia	building me a wall
Elsa scholastica diana🌺	A very melancholic song. One you can never forget after hearing it
Mo Salem	Just wondering, what the song writer been through to get inspired to write this song ???? So emotional so powerful
Patrick Freber	Hab dich lieb
Mattias Persson	My heart broke today
Fabio Lemmi	Beautiful
Giuseppe Rezzi	❤️❤️❤️
Brad Redford	I feel like they are trying to close a business deal...
Omar 93	Gimme like if Jiimmy McGil brought you hier
Андрей Кузнецов	"Мой сочинённый текст на эту композицию

Порой находит тьма и не хватает света 
Погасшая свеча - давно уж не горит 
Меркнет красота - не найти ответа 
Настал в твоей судьбе - сложный лабиринт 
Но верю я что свет - когда нибудь придёт 
Небесная звезда в душе моей взойдёт 

Верь своей звезде - верь своей надежде 
Верь своей мечте из последних сил 
Верь весна придёт - после вьюги снежной 
Этот бренный мир - снова расцветёт 

Не верь в красивость слов - они как мишура 
И в пафосность речей - это всё игра 
Не верь в тот яркий свет - без сердца и тепла 
И в страсть любви не верь - она обречена 

И не сотвори - ты себе кумира 
Сам свою верши - жизнь и судьбу 
Пусть придёт к тебе - озарение лира 
И зажгёт в тебе - духа высоту 

Не верь в красивость слов - они как мишура 
И в пафосность речей - это всё игра 
Не верь в тот яркий свет - без сердца и тепла 
И в страсть любви не верь - она обречена 

Брось на небо взгляд и дождись ответа 
Улови в себе - мироздания нить 
Ты создан не из тьмы - создан ты из света 
Ты пришёл в сей мир - что бы в нем светить 

Зажги в себе звезду —----— Зажги в себе звезду —-------------------"
rainer zemanek	"Abbau
 Ist zeitlos gut"
Жанна Шепелевич	На французском эту песню поет Мирей Матье.
mislyizgalavy	++++
HoppyCanvas	The winner takes it all, the loser standing small...point is, did you learn something of intrinsic value?
Serge	Chantaient juste la Suède le monde compte sur vous. Gag....
Great Basin Power	Incredible music.
